Order ID#,Date of Order,Order Status,Customer Name,Customer Address,City,Country
63,2004-01-12T00:00:00Z,Shipped,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan
64,2004-02-20T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
65,2004-04-03T00:00:00Z,Shipped,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA
66,2004-05-18T00:00:00Z,Shipped,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA
67,2004-06-28T00:00:00Z,Shipped,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA
68,2004-07-23T00:00:00Z,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
69,2004-08-27T00:00:00Z,Shipped,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA
70,2004-09-27T00:00:00Z,Shipped,Atelier graphique,"54, rue Royale",Nantes,France
71,2004-10-15T00:00:00Z,Shipped,Mini Classics,3758 North Pendale Street,White Plains,USA
72,2004-11-02T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
73,2004-11-15T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
74,2004-11-23T00:00:00Z,Shipped,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan
75,2004-12-17T00:00:00Z,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
76,2005-02-02T00:00:00Z,Shipped,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia
77,2005-03-03T00:00:00Z,Shipped,FunGiftIdeas.com,1785 First Street,New Bedford,USA
78,2005-04-07T00:00:00Z,Shipped,Auto Canal Petit,"25, rue Lauriston",Paris,France
79,2005-05-13T00:00:00Z,Disputed,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
80,2003-02-24T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
81,2003-04-29T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
82,2003-07-01T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
83,2003-08-25T00:00:00Z,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA
84,2003-10-10T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
85,2003-10-28T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
86,2003-11-11T00:00:00Z,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France
87,2003-11-18T00:00:00Z,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway
88,2003-12-01T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
89,2004-01-12T00:00:00Z,Shipped,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan
90,2004-02-20T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
91,2004-04-05T00:00:00Z,Shipped,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA
92,2004-05-18T00:00:00Z,Shipped,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA
93,2004-06-28T00:00:00Z,Shipped,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA
94,2004-07-23T00:00:00Z,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
95,2004-08-27T00:00:00Z,Shipped,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA
96,2004-09-30T00:00:00Z,Shipped,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland
97,2004-10-15T00:00:00Z,Shipped,Mini Classics,3758 North Pendale Street,White Plains,USA
98,2004-11-02T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
99,2004-11-15T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
100,2004-11-23T00:00:00Z,Shipped,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan
101,2005-01-05T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
102,2005-02-02T00:00:00Z,Shipped,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia
103,2005-03-03T00:00:00Z,Shipped,FunGiftIdeas.com,1785 First Street,New Bedford,USA
104,2005-04-08T00:00:00Z,Shipped,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK
105,2005-05-13T00:00:00Z,Disputed,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
106,2003-02-11T00:00:00Z,Shipped,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark
107,2003-04-28T00:00:00Z,Shipped,Salzburg Collectables,Geislweg 14,Salzburg,Austria
108,2003-06-12T00:00:00Z,Shipped,"Stylish Desk Decors, Co.",35 King George,London,UK
109,2003-08-10T00:00:00Z,Shipped,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA
110,2003-10-06T00:00:00Z,Shipped,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland
111,2003-10-23T00:00:00Z,Cancelled,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden
112,2003-11-08T00:00:00Z,Shipped,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France
113,2003-11-14T00:00:00Z,Shipped,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK
114,2003-11-26T00:00:00Z,Shipped,Enaco Distributors,"Rambla de CataluÂ¤a, 23",Barcelona,Spain
115,2004-01-09T00:00:00Z,Shipped,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.,Los Angeles,USA
116,2004-02-19T00:00:00Z,Shipped,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA
117,2004-05-07T00:00:00Z,Cancelled,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
118,2004-06-17T00:00:00Z,Shipped,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada
119,2004-07-21T00:00:00Z,Shipped,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium
120,2004-08-20T00:00:00Z,Shipped,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada
121,2004-09-10T00:00:00Z,Shipped,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA
122,2004-10-14T00:00:00Z,Shipped,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA
123,2004-11-01T00:00:00Z,Shipped,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK
124,2004-11-05T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
125,2004-11-21T00:00:00Z,Shipped,Classic Legends Inc.,5905 Pompton St.,NYC,USA
126,2004-12-02T00:00:00Z,Shipped,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
127,2004-12-15T00:00:00Z,Shipped,Reims Collectables,59 rue de l'Abbaye,Reims,France
128,2005-01-31T00:00:00Z,Shipped,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland
129,2005-02-23T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
130,2005-03-17T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
131,2005-04-01T00:00:00Z,Shipped,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA
132,2005-05-06T00:00:00Z,On Hold,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA
133,2003-01-29T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
134,2003-04-01T00:00:00Z,Shipped,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France
135,2003-05-28T00:00:00Z,Shipped,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain
136,2003-07-24T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
137,2003-09-19T00:00:00Z,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
138,2003-10-21T00:00:00Z,Resolved,Mini Auto Werke,Kirchgasse 6,Graz,Austria
139,2003-11-06T00:00:00Z,Shipped,"Stylish Desk Decors, Co.",35 King George,London,UK
140,2003-11-13T00:00:00Z,Shipped,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA
141,2003-11-25T00:00:00Z,Shipped,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France
142,2003-12-09T00:00:00Z,Shipped,Diecast Collectables,6251 Ingle Ln.,Boston,USA
143,2004-02-04T00:00:00Z,Shipped,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore
144,2004-03-11T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
145,2004-05-04T00:00:00Z,Shipped,Super Scale Inc.,567 North Pendale Street,New Haven,USA
146,2004-06-15T00:00:00Z,Shipped,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore
147,2004-07-19T00:00:00Z,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
148,2004-08-19T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
149,2004-09-08T00:00:00Z,Shipped,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden
150,2004-10-13T00:00:00Z,Shipped,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA
151,2004-10-22T00:00:00Z,Shipped,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada
152,2004-11-04T00:00:00Z,Shipped,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA
153,2004-11-19T00:00:00Z,On Hold,"Volvo Model Replicas, Co",Berguvsvâ€žgen  8,Lule,Sweden
154,2004-11-29T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
155,2004-12-10T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
156,2005-01-20T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
157,2005-02-17T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
158,2005-03-09T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
159,2005-05-01T00:00:00Z,Shipped,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada
160,2005-05-31T00:00:00Z,In Process,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
161,2003-03-03T00:00:00Z,Shipped,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines
162,2003-05-08T00:00:00Z,Shipped,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France
163,2003-07-02T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
164,2003-09-05T00:00:00Z,Shipped,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA
165,2003-10-10T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
166,2003-11-04T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
167,2003-11-12T00:00:00Z,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway
168,2003-11-20T00:00:00Z,Shipped,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany
169,2003-12-02T00:00:00Z,Shipped,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
170,2004-01-15T00:00:00Z,Shipped,Auto Canal Petit,"25, rue Lauriston",Paris,France
171,2004-02-22T00:00:00Z,Shipped,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland
172,2004-04-09T00:00:00Z,Shipped,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark
173,2004-06-01T00:00:00Z,Cancelled,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK
174,2004-07-06T00:00:00Z,Shipped,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy
175,2004-08-02T00:00:00Z,Shipped,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA
176,2004-08-30T00:00:00Z,Shipped,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland
177,2003-10-04T00:00:00Z,Shipped,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany
178,2004-10-16T00:00:00Z,Shipped,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany
179,2004-11-03T00:00:00Z,Shipped,"Volvo Model Replicas, Co",Berguvsvâ€žgen  8,Lule,Sweden
180,2004-11-15T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
181,2004-11-24T00:00:00Z,Shipped,Salzburg Collectables,Geislweg 14,Salzburg,Austria
182,2005-01-06T00:00:00Z,Shipped,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland
183,2005-02-03T00:00:00Z,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France
184,2005-03-03T00:00:00Z,Shipped,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden
185,2005-05-17T00:00:00Z,Shipped,Salzburg Collectables,Geislweg 14,Salzburg,Austria
186,2003-02-11T00:00:00Z,Shipped,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark
187,2003-04-16T00:00:00Z,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
188,2003-06-03T00:00:00Z,Shipped,Muscle Machine Inc,4092 Furth Circle,NYC,USA
189,2003-08-08T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
190,2003-09-28T00:00:00Z,Shipped,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
191,2003-10-22T00:00:00Z,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
192,2003-11-06T00:00:00Z,Shipped,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy
193,2003-11-14T00:00:00Z,Shipped,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA
194,2003-11-26T00:00:00Z,Shipped,Super Scale Inc.,567 North Pendale Street,New Haven,USA
195,2004-01-02T00:00:00Z,Shipped,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France
196,2004-02-12T00:00:00Z,Shipped,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland
197,2004-03-19T00:00:00Z,Shipped,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain
198,2004-05-05T00:00:00Z,Shipped,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland
199,2004-07-20T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
200,2004-08-20T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
201,2004-09-09T00:00:00Z,Shipped,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy
202,2004-10-14T00:00:00Z,Shipped,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK
203,2004-10-22T00:00:00Z,Shipped,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark
204,2004-11-05T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
205,2004-11-20T00:00:00Z,Shipped,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France
206,2004-11-01T00:00:00Z,Shipped,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain
207,2004-12-15T00:00:00Z,Shipped,Reims Collectables,59 rue de l'Abbaye,Reims,France
208,2005-01-23T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
209,2005-02-17T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
210,2005-03-17T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
211,2005-05-05T00:00:00Z,Shipped,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA
212,2003-01-29T00:00:00Z,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway
213,2003-03-26T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
214,2003-05-28T00:00:00Z,Shipped,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain
215,2003-07-24T00:00:00Z,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA
216,2003-09-19T00:00:00Z,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
217,2003-10-21T00:00:00Z,Resolved,Mini Auto Werke,Kirchgasse 6,Graz,Austria
218,2003-11-06T00:00:00Z,Shipped,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia
219,2003-11-13T00:00:00Z,Shipped,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA
220,2003-11-25T00:00:00Z,Shipped,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France
221,2003-12-05T00:00:00Z,Shipped,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada
222,2004-02-02T00:00:00Z,Shipped,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France
223,2004-03-11T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
224,2004-05-04T00:00:00Z,Shipped,Super Scale Inc.,567 North Pendale Street,New Haven,USA
225,2004-06-15T00:00:00Z,Shipped,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan
226,2004-07-19T00:00:00Z,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
227,2004-08-19T00:00:00Z,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA
228,2004-09-08T00:00:00Z,Shipped,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden
229,2004-10-11T00:00:00Z,Shipped,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France
230,2004-10-22T00:00:00Z,Shipped,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada
231,2004-11-04T00:00:00Z,Shipped,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA
232,2004-11-18T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
233,2004-11-29T00:00:00Z,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia
234,2004-12-10T00:00:00Z,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA
235,2005-01-20T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
236,2005-02-17T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
237,2005-03-09T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
238,2005-05-01T00:00:00Z,Shipped,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada
239,2005-05-31T00:00:00Z,In Process,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain
240,2003-02-24T00:00:00Z,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA
241,2003-05-07T00:00:00Z,Shipped,Reims Collectables,59 rue de l'Abbaye,Reims,France
242,2003-07-01T00:00:00Z,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France
243,2003-08-25T00:00:00Z,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA
244,2003-10-10T00:00:00Z,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA
245,2003-11-04T00:00:00Z,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia
246,2003-11-11T00:00:00Z,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France
247,2003-11-18T00:00:00Z,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA
248,2003-12-01T00:00:00Z,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA
249,2004-01-15T00:00:00Z,Shipped,Auto Canal Petit,"25, rue Lauriston",Paris,France
